Collector,Time,Max Diversity AS,Max Unique Paths,Max AS Prefixes,Highest Avg Diversity AS,Avg Unique Paths,Avg AS Prefixes
rrc20,2024-02-01 01:45,12307,32,8000,12307,3.58,8000
rrc21,2024-02-01 01:45,2027,20,19625,199524,2.61,7745
rrc22,2024-02-01 01:45,56430,10,11821,31554,1.88,11294
rrc23,2024-02-01 01:45,18106,20,14363,4775,2.83,6
rrc24,2024-02-01 01:45,270014,21,7263,270014,3.0,7263
rrc25,2024-02-01 01:45,212123,37,12430,212123,3.19,12430
rrc26,2024-02-01 01:45,49544,14,13330,200612,2.27,9166
rrc00,2024-02-01 01:50,44393,36,202208,44103,3.1,10406
rrc01,2024-02-01 01:50,62167,25,10776,62167,2.88,10776
rrc03,2024-02-01 01:50,8283,28,14739,209650,2.65,10072
rrc04,2024-02-01 01:50,29222,15,9789,29222,2.35,9789
rrc05,2024-02-01 01:50,51184,21,8315,51184,3.19,8315
rrc06,2024-02-01 01:50,59105,19,7201,25152,2.28,8368
